Wall time,Step,Value
1785108184.700004,170,0.0018111892277374864
1785108184.9894657,295,0.0004333453834988177
1785108185.1577194,357,0.0004287620249669999
1785108185.9403062,602,2.2756845282856375e-05
1785108186.0987911,664,1.1337781870679464e-05
1785108186.220166,707,0.0004002653295174241
1785108186.2392855,714,7.028015716059599e-06
1785108186.4043403,775,3.704580740304664e-05
1785108187.302678,1142,1.4294389075075742e-05
1785108188.0825648,1461,9.547385161567945e-06
1785108188.2193172,1513,2.1217778339632787e-05
1785108188.3468175,1564,7.245689630508423e-06
1785108189.0824473,1862,3.2181078495341353e-06
1785108189.0884514,1865,4.994203663954977e-06
1785108189.4305408,2005,0.00019245580187998712
1785108190.5181777,2435,4.758413342642598e-05
1785108190.726633,2517,6.990469046286307e-06
1785108191.1538832,2613,4.60282444691984e-06
1785108191.157883,2614,9.48329943639692e-06
1785108191.7214606,2813,7.15280611984781e-06
1785108193.1357608,3358,2.1806401491630822e-05
1785108193.1813765,3374,3.3922171951417113e-06
1785108193.3485498,3433,6.91457853463362e-06
1785108194.1643462,3746,3.2848120099515654e-06
1785108195.938762,4445,4.422197434905684e-06
1785108196.1528578,4528,6.648123871855205e-06
1785108196.3969808,4620,6.254760137380799e-06
1785108196.439065,4637,0.00020724959904327989
1785108198.1178057,5099,6.893738373037195e-06
1785108198.5766213,5262,1.2875716492999345e-05
1785108199.1872501,5473,1.3684923032997176e-05
1785108200.3162534,5851,1.8345386706641875e-05
1785108200.8393445,6035,7.5805064625456e-06
1785108201.1148455,6118,1.3327517081052065e-05
1785108201.743085,6328,5.052768756286241e-06
1785108203.3716803,6827,4.334847744758008e-06
1785108203.4107761,6839,3.7892500586167444e-06
1785108203.8591554,6982,3.6639580685005058e-06
1785108204.2452424,7094,2.1403648133855313e-06
1785108204.8874476,7283,0.00024591395049355924
1785108205.8276157,7588,3.817802735284204e-06
1785108205.8370738,7591,7.495011232094839e-05
1785108207.0582774,7926,4.9896793825610075e-06
1785108207.2395008,7961,1.8758042642730288e-05
1785108208.1000602,8194,7.444087714247871e-06
1785108208.4541595,8308,8.92972675501369e-05
1785108208.5740998,8349,9.282295650336891e-06
1785108209.380768,8626,4.805768185178749e-06
1785108209.4113355,8636,1.5674334008508595e-06
1785108210.4992547,9006,0.0011409836588427424
1785108210.6661935,9063,7.512056072300766e-06
1785108211.6032946,9388,6.384530479408568e-06
1785108212.2372358,9596,1.1121253010060173e-05
1785108212.5172946,9682,0.0003357541572768241
1785108213.0081892,9826,7.701279173488729e-06
1785108215.3213005,10527,0.0001706923358142376
1785108215.604571,10607,7.653095963178203e-05
1785108215.754384,10650,1.1581235412450042e-05
1785108216.9565418,11033,0.0001293620007345453
1785108217.151333,11094,0.00010202417615801096
1785108217.319628,11148,1.8635728338267654e-06
1785108218.8853745,11660,0.00012257085472811013
1785108218.9987192,11694,6.935926649020985e-06
1785108220.171537,12097,1.007320770440856e-05
1785108220.1855671,12102,6.679630132566672e-06
1785108220.7484715,12292,2.2624756184086436e-06
1785108221.1137779,12418,3.839167220576201e-06
1785108222.8927464,13005,4.3872996684513055e-06
1785108223.368005,13162,0.0017389259301126003
1785108223.4464033,13189,0.0005649074446409941
1785108225.139425,13748,4.234565494698472e-06
1785108227.075791,14422,4.347159119788557e-06
1785108228.1540465,14796,7.141410605981946e-05
1785108228.4746008,14907,2.5830748199950904e-05
1785108228.7524412,15001,6.511473202408524e-06
1785108230.4570858,15601,6.5962649387074634e-06
1785108231.2967145,15892,4.622906544682337e-06
1785108232.2749393,16244,9.8704949778039e-06
1785108234.389216,16985,5.220036200626055e-06
1785108234.9976764,17194,4.519805770542007e-06
1785108235.0885272,17225,4.804945547220996e-06
1785108235.717978,17445,2.7470782697491813e-06
1785108235.7827296,17467,0.0010702317813411355
1785108236.3897033,17671,3.6165540223009884e-05
1785108236.4287767,17685,4.203548542136559e-06
1785108238.9852028,18579,4.551455731416354e-06
1785108242.0624342,19659,9.99193730422121e-07
1785108242.3680758,19768,5.0556991482153535e-06
1785108242.6270099,19859,1.0394617220299551e-06
1785108243.3889444,20123,0.00018234478193335235
1785108243.551957,20181,0.0002278141473652795
1785108243.5761425,20190,3.7247529689921066e-05
1785108244.0963433,20372,1.817454358388204e-05
1785108244.3181162,20451,0.0006562814232893288
1785108244.9372406,20667,1.2507389328675345e-05
1785108245.0463755,20706,2.206681529060006e-05
1785108245.6140168,20907,1.910063838295173e-05
1785108245.6230402,20910,1.618070928088855e-05
1785108245.834215,20983,7.86791952123167e-06
1785108246.4792411,21208,9.565225809637923e-06
1785108246.668553,21272,0.000571447832044214
1785108246.9228866,21360,9.059158401214518e-06
1785108247.189703,21447,1.1228182302147616e-05
1785108248.762192,21976,6.741398829035461e-05
1785108249.9472914,22373,2.8709071102639427e-06
1785108250.1975136,22458,3.6224396353645716e-06
1785108250.280568,22486,4.010646080132574e-06
1785108252.5487406,23266,0.000738851202186197
1785108252.5773215,23276,1.644521762500517e-05
1785108253.00546,23414,0.00036705908132717013
1785108253.230463,23489,3.910526174877305e-06
1785108253.4255786,23555,0.00021023220324423164
1785108253.7620363,23668,2.4916450911405263e-06
1785108254.1509557,23798,0.001481044921092689
1785108254.2405686,23829,1.8534627770350198e-06
1785108255.5874734,24275,4.886448550678324e-06
1785108255.9881024,24410,0.0003859188291244209
1785108255.993196,24412,4.663006166083505e-06
1785108256.1013803,24450,4.970821464667097e-06
1785108256.9857588,24749,6.2286967477120925e-06
1785108257.299415,24855,1.8914256543212105e-06
1785108257.9255118,25062,6.226980076462496e-06
1785108259.1356897,25381,9.98375799099449e-06
1785108259.6767504,25519,9.708978723210748e-06
1785108261.1714852,25940,0.00029167733737267554
1785108261.3043468,25975,2.984099637615145e-06
1785108261.5498054,26049,2.6501299998926697e-06
1785108262.8096337,26431,7.482388355128933e-06
1785108264.4486618,26925,0.0005279930192045867
1785108264.4526622,26926,1.4919185559847392e-05
1785108265.608673,27282,0.0003521571052260697
1785108266.7337036,27633,0.00038392451824620366
1785108267.0280585,27731,3.896104772138642e-06
1785108267.1349525,27766,8.170541150320787e-06
1785108267.7304215,27953,0.00028248672606423497
1785108268.0008311,28044,5.166147275303956e-06
1785108269.582648,28566,5.224801498115994e-06
1785108269.9024355,28671,1.6324605894624256e-05
1785108271.1571732,29098,1.874304325610865e-05
1785108271.2350519,29124,0.000280876352917403
1785108271.4295666,29190,0.0004881140775978565
1785108271.8267403,29329,0.0004645578737836331
1785108272.0101202,29391,6.732223027938744e-06
1785108272.6248791,29599,4.0889040974434465e-05
1785108273.7195778,29957,0.000503583112731576
1785108274.238308,30133,4.0269983401231e-06
1785108274.3151221,30159,4.997323230782058e-06
1785108275.032713,30302,6.036189915903378e-06
1785108275.527289,30455,0.0009069556836038828
1785108275.9642732,30598,0.0008706726366654038
1785108276.3785777,30740,3.2721929983381415e-06
1785108276.739808,30834,1.9379214791115373e-05
1785108276.7810059,30848,0.00011059268581448123
1785108278.8053548,31534,2.3961212718859315e-05
1785108278.9127684,31571,8.102419997157995e-06
1785108280.236732,32008,0.0010104228276759386
1785108280.4051206,32064,5.51909670321038e-06
1785108281.4762747,32335,3.3821088436525315e-06
1785108282.4383302,32563,3.213366198906442e-06
1785108282.8621404,32670,2.6300433091819286e-05
1785108283.3395379,32785,3.406226824154146e-06
1785108283.6892083,32890,7.095581167959608e-06
1785108284.0919325,33022,6.008428499626461e-06
1785108284.116316,33030,0.0002366394764976576
1785108284.5213444,33162,0.0007647956954315305
1785108285.0113366,33309,1.94093918253202e-05
1785108285.6292634,33503,9.225726898876019e-06
1785108285.7132668,33531,7.01827457305626e-06
1785108286.7111616,33865,1.5148849342949688e-05
1785108286.7472658,33877,8.155881914717611e-06
1785108286.8594456,33913,7.55485189074534e-06
1785108287.0346656,33967,5.1038668971159495e-06
1785108287.1432557,34004,0.0009759373497217894
1785108287.259345,34041,7.324492344196187e-06
1785108287.6310794,34164,0.001057156128808856
1785108288.6409426,34490,3.255998080931022e-06
