Wall time,Step,Value
1785108187.517114,1230,178.0
1785108188.0885627,1463,232.0
1785108191.100678,2593,105.0
1785108192.4768877,3118,105.0
1785108192.9578216,3293,174.0
1785108194.5715818,3904,205.0
1785108195.8674867,4416,255.0
1785108198.8447983,5353,255.0
1785108204.6790798,7219,109.0
1785108206.7834327,7862,185.0
1785108208.3952525,8288,169.0
1785108209.2409973,8576,255.0
1785108209.6186905,8702,125.0
1785108210.4992547,9006,255.0
1785108214.1163538,10155,53.0
1785108214.9593403,10411,255.0
1785108215.4093528,10557,145.0
1785108216.2610936,10813,255.0
1785108216.5835292,10921,107.0
1785108221.6136632,12584,210.0
1785108223.1821773,13100,186.0
1785108224.9426215,13680,67.0
1785108225.203937,13770,89.0
1785108225.3968632,13837,66.0
1785108226.1290479,14093,255.0
1785108228.66723,14973,186.0
1785108234.1814253,16911,255.0
1785108234.921606,17167,255.0
1785108238.1151352,18267,255.0
1785108242.7241821,19893,255.0
1785108244.7650552,20609,248.0
1785108245.4924734,20865,255.0
1785108249.1132095,22094,255.0
1785108250.5293593,22570,148.0
1785108251.3972135,22871,62.0
1785108255.056687,24100,28.0
1785108256.5930793,24615,228.0
1785108256.7860596,24680,64.0
1785108259.452155,25463,30.0
1785108260.6669638,25799,79.0
1785108261.1594484,25937,137.0
1785108261.4097452,26006,68.0
1785108265.3279374,27194,183.0
1785108267.3126469,27823,145.0
1785108268.51241,28219,255.0
1785108268.7184265,28288,68.0
1785108270.3839989,28836,174.0
1785108272.438849,29537,88.0
1785108272.6002138,29591,53.0
1785108274.1781654,30113,242.0
1785108276.3409326,30727,89.0
1785108276.727284,30830,102.0
1785108277.5338206,31102,100.0
1785108278.9341683,31578,196.0
1785108279.9751098,31922,255.0
1785108280.215108,32001,78.0
1785108281.55718,32355,246.0
1785108281.9834402,32457,64.0
1785108282.2566216,32516,58.0
1785108284.6855273,33211,16.0
1785108289.0655925,34631,255.0
1785108289.2153475,34680,48.0
1785108289.793447,34873,192.0
1785108291.4348853,35418,249.0
1785108296.9005451,37163,234.0
1785108297.4611056,37350,186.0
1785108298.4098973,37659,64.0
1785108300.0265048,38171,65.0
