Wall time,Step,Value
1784842153.9054902,1004,256.0
1784842153.9340746,1216,212.0
1784842154.0084429,1790,44.0
1784842154.0584826,2163,136.0
1784842154.0784872,2319,156.0
1784842154.1585643,2926,249.0
1784842154.1975825,3208,173.0
1784842154.2716398,3772,72.0
1784842154.5401082,5741,256.0
1784842154.6106603,6250,176.0
1784842154.6422603,6479,33.0
1784842154.6872952,6800,256.0
1784842154.7118132,6943,143.0
1784842154.7437425,7111,23.0
1784842154.8154469,7613,78.0
1784842154.8244538,7680,67.0
1784842154.844508,7830,150.0
1784842154.8600128,7939,109.0
1784842154.874021,8041,102.0
1784842155.027748,9154,115.0
1784842155.0572622,9369,70.0
1784842155.0992975,9664,111.0
1784842155.1138706,9767,103.0
1784842155.1198702,9816,49.0
1784842155.1523807,10065,249.0
1784842155.2454367,10755,97.0
1784842155.312163,11230,72.0
1784842155.3231666,11314,84.0
1784842155.4083717,11939,37.0
1784842155.4944606,12553,31.0
1784842155.5119693,12679,41.0
1784842155.5470126,12935,256.0
1784842155.6465898,13651,96.0
1784842155.6891615,13959,71.0
1784842155.705822,14082,38.0
1784842155.8133872,14827,34.0
1784842155.8323958,14959,64.0
1784842155.8359237,14984,25.0
1784842155.9532373,15831,256.0
1784842155.9647508,15902,42.0
1784842155.9697566,15936,34.0
1784842155.9842613,16042,106.0
1784842156.0423155,16450,17.0
1784842156.065825,16615,35.0
1784842156.074829,16679,19.0
1784842156.0828288,16739,60.0
1784842156.1148543,16960,73.0
1784842156.1539052,17229,92.0
1784842156.1599045,17278,49.0
1784842156.1759126,17383,39.0
1784842156.2054305,17582,32.0
1784842156.208939,17601,19.0
1784842156.2199423,17679,55.0
1784842156.243627,17849,41.0
1784842156.2611349,17970,42.0
1784842156.264137,17989,19.0
1784842156.283154,18117,61.0
1784842156.303701,18265,70.0
1784842156.3067026,18292,27.0
1784842156.3342388,18481,23.0
1784842156.3732767,18759,31.0
1784842156.376276,18778,19.0
1784842156.3782785,18794,16.0
1784842156.391312,18880,19.0
1784842156.442879,19239,36.0
1784842156.4459226,19262,23.0
1784842156.4569225,19337,32.0
1784842156.4779277,19476,26.0
1784842156.491444,19571,35.0
1784842156.494442,19590,19.0
1784842156.501441,19635,45.0
1784842156.5089624,19684,13.0
1784842156.596062,20303,32.0
1784842156.627584,20513,36.0
1784842156.6441233,20625,19.0
1784842156.65064,20672,31.0
1784842156.6536372,20688,16.0
1784842156.66264,20752,27.0
1784842156.6956708,20977,11.0
1784842156.7362013,21259,107.0
1784842156.7782326,21562,256.0
1784842156.8193007,21873,15.0
1784842156.978432,23000,84.0
1784842157.0875337,23807,135.0
1784842157.0975318,23877,70.0
1784842157.136571,24156,60.0
1784842157.1446075,24214,58.0
1784842157.2017677,24630,256.0
1784842157.212769,24717,87.0
1784842157.2533207,25013,40.0
1784842157.2723317,25151,70.0
1784842157.3341153,25590,181.0
1784842157.3647413,25802,212.0
1784842157.386261,25968,166.0
